game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Unleash your inner warrior! Street Fighter 6 delivers explosive, global brawls with dynamic visuals, innovative gameplay, and a diverse roster of legendary fighters.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Survival,"Descend into a Louisiana swamp, hunting monstrous creatures and other players for bounties. Risk life and limb in a high-stakes, unforgiving PvPvE experience.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a post-apocalyptic world, battle colossal monsters, and unravel a captivating story. Wuthering Waves blends action RPG combat with exploration for an immersive journey.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Military,"Experience realistic combat in Arma Reforger! Fight for survival on a vast island, coordinating with teammates, utilizing authentic weaponry, and forging your own destiny.",Multiplayer
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,"Scavenge abandoned moons for scrap, battling monstrous creatures, and survive the dangers of space... or die trying! It's a co-op horror experience.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,FPS,"Loot, shoot, and extract! Arena Breakout: Infinite delivers hardcore, realistic FPS action. Risk everything to raid, survive, and escape with your hard-earned treasures.",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Dive into the stylish, action-packed world of Zenless Zone Zero! Fight monstrous Ethereals, build your squad, and unravel the secrets of New Eridu.",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive a prehistoric world! Tame dinosaurs, build bases, and fight for dominance in ARK: Survival Ascended. Explore, craft, and conquer!",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Build an empire to stand the test of time! Explore, expand, exploit, and exterminate in Civilization VII, shaping history through diplomacy, war, and cultural dominance.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"Dive into SMITE 2, the action MOBA where gods battle in third-person! Wield divine powers, dominate the battlefield, and claim victory.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Forge your destiny in Throne and Liberty! Explore a vast, dynamic world where alliances shift, battles rage, and your choices shape the fate of the kingdom.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Action,"Awaken, Flameborn! Explore a vast, shrouded world. Craft, build, and fight to reclaim your land from a deadly blight and uncover its secrets.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Survive the abandoned Playtime Co. factory! Solve puzzles, uncover secrets, and avoid the terrifying, hug-loving toys that lurk in the shadows.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Embark on a co-op adventure! Master unique abilities, solve puzzles, and save your fractured relationship in ""It Takes Two,"" a journey built for two.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Clash with thousands in DYNASTY WARRIORS: ORIGINS! Experience epic, open-world battles, become a legendary warrior, and rewrite the Three Kingdoms saga!",Both
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience the thrill of NHL 25!  Dominate the ice with authentic gameplay, refined player control, and intense online competition.  Become a hockey legend!",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,Balatro: A deck-building roguelike where poker hands meet strategic card combinations. Craft powerful synergies to score big and climb the stakes!,Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Simulation,"Escape the mundane! In MiSide, build your own perfect virtual world by crafting unique islands and connecting with friends in an immersive, customizable experience.",Both
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Shape your fate! ""Metaphor: Refantazio"" plunges you into a world of shifting realities, where your choices redefine the future in epic battles and a grand journey.",Singleplayer
